Date,Item_ID,Item_name,Quantity_sold,Quantity_used,Quantity_wasted,Waste_cost,Unit_cost,Cost_used,Item_price,Margin_per_item,Transaction_amount,Time of sale
3/19/2023,1004,Frankie,9,9.9,0.9,18,20,198,50,270,450,Evening
3/19/2023,1004,Frankie,10,11,1,20,20,220,50,300,500,Evening
3/19/2023,1005,Panipuri,11,13.8,2.75,27.5,10,137.5,20,110,220,Morning
3/19/2023,1006,Sandwich,13,14.3,1.3,32.5,25,357.5,60,455,780,Evening
3/19/2023,1006,Sandwich,15,16.5,1.5,37.5,25,412.5,60,525,900,Morning
3/18/2023,1003,Sugarcane juice,7,8.4,1.4,16.8,12,100.8,25,91,175,Afternoon
3/18/2023,1006,Sandwich,11,12.1,1.1,27.5,25,302.5,60,385,660,Evening
3/17/2023,1007,Cold coffee,10,10.6,0.6,6,10,106,40,300,400,Night
3/17/2023,1003,Sugarcane juice,14,16.8,2.8,33.6,12,201.6,25,182,350,Midnight
3/16/2023,1001,Aalopuri,3,3.2,0.24,2.9,12,38.9,20,24,60,Midnight
3/16/2023,1005,Panipuri,6,7.5,1.5,15,10,75,20,60,120,Evening
3/16/2023,1004,Frankie,11,12.1,1.1,22,20,242,50,330,550,Evening
3/16/2023,1003,Sugarcane juice,12,14.4,2.4,28.8,12,172.8,25,156,300,Midnight
3/15/2023,1002,Vadapav,1,1.1,0.1,1,10,11,20,10,20,Night
3/15/2023,1004,Frankie,2,2.2,0.2,4,20,44,50,60,100,Afternoon
3/15/2023,1007,Cold coffee,4,4.2,0.24,2.4,10,42.4,40,120,160,Midnight
3/15/2023,1006,Sandwich,5,5.5,0.5,12.5,25,137.5,60,175,300,Midnight
3/15/2023,1003,Sugarcane juice,10,12,2,24,12,144,25,130,250,Midnight
3/15/2023,1006,Sandwich,15,16.5,1.5,37.5,25,412.5,60,525,900,Night
3/14/2023,1007,Cold coffee,8,8.5,0.48,4.8,10,84.8,40,240,320,Midnight
3/14/2023,1004,Frankie,13,14.3,1.3,26,20,286,50,390,650,Night
3/13/2023,1006,Sandwich,14,15.4,1.4,35,25,385,60,490,840,Morning
3/13/2023,1007,Cold coffee,14,14.8,0.84,8.4,10,148.4,40,420,560,Night
3/12/2023,1001,Aalopuri,4,4.3,0.32,3.8,12,51.8,20,32,80,Midnight
3/11/2023,1001,Aalopuri,1,1.1,0.08,1,12,13,20,8,20,Afternoon
3/11/2023,1002,Vadapav,7,7.7,0.7,7,10,77,20,70,140,Afternoon
3/10/2023,1004,Frankie,7,7.7,0.7,14,20,154,50,210,350,Night
3/10/2023,1001,Aalopuri,12,13,0.96,11.5,12,155.5,20,96,240,Afternoon
3/9/2023,1005,Panipuri,4,5,1,10,10,50,20,40,80,Afternoon
3/9/2023,1004,Frankie,7,7.7,0.7,14,20,154,50,210,350,Evening
3/9/2023,1004,Frankie,10,11,1,20,20,220,50,300,500,Afternoon
3/9/2023,1004,Frankie,13,14.3,1.3,26,20,286,50,390,650,Afternoon
3/9/2023,1003,Sugarcane juice,14,16.8,2.8,33.6,12,201.6,25,182,350,Afternoon
3/9/2023,1001,Aalopuri,15,16.2,1.2,14.4,12,194.4,20,120,300,Morning
3/8/2023,1006,Sandwich,9,9.9,0.9,22.5,25,247.5,60,315,540,Morning
3/8/2023,1005,Panipuri,12,15,3,30,10,150,20,120,240,Night
3/7/2023,1006,Sandwich,1,1.1,0.1,2.5,25,27.5,60,35,60,Evening
3/7/2023,1005,Panipuri,9,11.3,2.25,22.5,10,112.5,20,90,180,Afternoon
3/6/2023,1006,Sandwich,7,7.7,0.7,17.5,25,192.5,60,245,420,Night
3/5/2023,1002,Vadapav,1,1.1,0.1,1,10,11,20,10,20,Morning
3/5/2023,1005,Panipuri,4,5,1,10,10,50,20,40,80,Morning
3/5/2023,1002,Vadapav,5,5.5,0.5,5,10,55,20,50,100,Evening
3/5/2023,1002,Vadapav,11,12.1,1.1,11,10,121,20,110,220,Morning
3/4/2023,1002,Vadapav,9,9.9,0.9,9,10,99,20,90,180,Morning
3/4/2023,1007,Cold coffee,15,15.9,0.9,9,10,159,40,450,600,Morning
3/3/2023,1003,Sugarcane juice,5,6,1,12,12,72,25,65,125,Midnight
3/3/2023,1003,Sugarcane juice,5,6,1,12,12,72,25,65,125,Morning
3/3/2023,1007,Cold coffee,8,8.5,0.48,4.8,10,84.8,40,240,320,Morning
3/3/2023,1005,Panipuri,13,16.3,3.25,32.5,10,162.5,20,130,260,Midnight
3/2/2023,1004,Frankie,8,8.8,0.8,16,20,176,50,240,400,Afternoon
3/2/2023,1002,Vadapav,11,12.1,1.1,11,10,121,20,110,220,Midnight
3/2/2023,1001,Aalopuri,12,13,0.96,11.5,12,155.5,20,96,240,Afternoon
3/2/2023,1001,Aalopuri,13,14,1.04,12.5,12,168.5,20,104,260,Afternoon
3/1/2023,1006,Sandwich,4,4.4,0.4,10,25,110,60,140,240,Morning
3/1/2023,1003,Sugarcane juice,7,8.4,1.4,16.8,12,100.8,25,91,175,Evening
3/1/2023,1007,Cold coffee,11,11.7,0.66,6.6,10,116.6,40,330,440,Midnight
3/1/2023,1002,Vadapav,12,13.2,1.2,12,10,132,20,120,240,Night
3/1/2023,1006,Sandwich,14,15.4,1.4,35,25,385,60,490,840,Night
2/28/2023,1001,Aalopuri,1,1.1,0.08,1,12,13,20,8,20,Midnight
2/28/2023,1004,Frankie,6,6.6,0.6,12,20,132,50,180,300,Night
2/27/2023,1004,Frankie,8,8.8,0.8,16,20,176,50,240,400,Morning
2/27/2023,1002,Vadapav,9,9.9,0.9,9,10,99,20,90,180,Night
2/27/2023,1004,Frankie,15,16.5,1.5,30,20,330,50,450,750,Afternoon
2/26/2023,1002,Vadapav,1,1.1,0.1,1,10,11,20,10,20,Morning
2/26/2023,1001,Aalopuri,6,6.5,0.48,5.8,12,77.8,20,48,120,Midnight
2/26/2023,1004,Frankie,8,8.8,0.8,16,20,176,50,240,400,Afternoon
2/26/2023,1004,Frankie,11,12.1,1.1,22,20,242,50,330,550,Night
2/25/2023,1002,Vadapav,2,2.2,0.2,2,10,22,20,20,40,Morning
2/25/2023,1004,Frankie,9,9.9,0.9,18,20,198,50,270,450,Evening
2/24/2023,1001,Aalopuri,3,3.2,0.24,2.9,12,38.9,20,24,60,Midnight
2/24/2023,1007,Cold coffee,6,6.4,0.36,3.6,10,63.6,40,180,240,Night
2/24/2023,1004,Frankie,7,7.7,0.7,14,20,154,50,210,350,Morning
2/24/2023,1006,Sandwich,7,7.7,0.7,17.5,25,192.5,60,245,420,Midnight
2/23/2023,1003,Sugarcane juice,3,3.6,0.6,7.2,12,43.2,25,39,75,Evening
2/23/2023,1007,Cold coffee,6,6.4,0.36,3.6,10,63.6,40,180,240,Morning
2/23/2023,1006,Sandwich,14,15.4,1.4,35,25,385,60,490,840,Afternoon
2/22/2023,1007,Cold coffee,6,6.4,0.36,3.6,10,63.6,40,180,240,Morning
2/22/2023,1001,Aalopuri,8,8.6,0.64,7.7,12,103.7,20,64,160,Morning
2/22/2023,1004,Frankie,9,9.9,0.9,18,20,198,50,270,450,Afternoon
2/21/2023,1006,Sandwich,8,8.8,0.8,20,25,220,60,280,480,Midnight
2/21/2023,1007,Cold coffee,12,12.7,0.72,7.2,10,127.2,40,360,480,Morning
2/20/2023,1007,Cold coffee,8,8.5,0.48,4.8,10,84.8,40,240,320,Evening
2/20/2023,1007,Cold coffee,13,13.8,0.78,7.8,10,137.8,40,390,520,Afternoon
2/19/2023,1002,Vadapav,15,16.5,1.5,15,10,165,20,150,300,Midnight
2/18/2023,1007,Cold coffee,15,15.9,0.9,9,10,159,40,450,600,Midnight
2/17/2023,1001,Aalopuri,2,2.2,0.16,1.9,12,25.9,20,16,40,Afternoon
2/17/2023,1007,Cold coffee,3,3.2,0.18,1.8,10,31.8,40,90,120,Midnight
2/17/2023,1006,Sandwich,12,13.2,1.2,30,25,330,60,420,720,Midnight
2/16/2023,1003,Sugarcane juice,1,1.2,0.2,2.4,12,14.4,25,13,25,Midnight
2/16/2023,1003,Sugarcane juice,9,10.8,1.8,21.6,12,129.6,25,117,225,Evening
2/16/2023,1007,Cold coffee,10,10.6,0.6,6,10,106,40,300,400,Evening
2/15/2023,1005,Panipuri,3,3.8,0.75,7.5,10,37.5,20,30,60,Afternoon
2/15/2023,1007,Cold coffee,14,14.8,0.84,8.4,10,148.4,40,420,560,Afternoon
2/15/2023,1004,Frankie,15,16.5,1.5,30,20,330,50,450,750,Evening
2/14/2023,1002,Vadapav,6,6.6,0.6,6,10,66,20,60,120,Midnight
2/14/2023,1006,Sandwich,7,7.7,0.7,17.5,25,192.5,60,245,420,Night
2/13/2023,1001,Aalopuri,2,2.2,0.16,1.9,12,25.9,20,16,40,Evening
2/13/2023,1001,Aalopuri,6,6.5,0.48,5.8,12,77.8,20,48,120,Afternoon
2/13/2023,1005,Panipuri,7,8.8,1.75,17.5,10,87.5,20,70,140,Afternoon
2/13/2023,1002,Vadapav,8,8.8,0.8,8,10,88,20,80,160,Evening
2/13/2023,1005,Panipuri,11,13.8,2.75,27.5,10,137.5,20,110,220,Afternoon
2/13/2023,1006,Sandwich,11,12.1,1.1,27.5,25,302.5,60,385,660,Midnight
2/13/2023,1006,Sandwich,15,16.5,1.5,37.5,25,412.5,60,525,900,Midnight
2/12/2023,1004,Frankie,4,4.4,0.4,8,20,88,50,120,200,Night
2/11/2023,1003,Sugarcane juice,10,12,2,24,12,144,25,130,250,Afternoon
2/10/2023,1003,Sugarcane juice,9,10.8,1.8,21.6,12,129.6,25,117,225,Afternoon
2/10/2023,1007,Cold coffee,10,10.6,0.6,6,10,106,40,300,400,Morning
2/9/2023,1002,Vadapav,15,16.5,1.5,15,10,165,20,150,300,Afternoon
2/8/2023,1005,Panipuri,3,3.8,0.75,7.5,10,37.5,20,30,60,Midnight
2/8/2023,1002,Vadapav,12,13.2,1.2,12,10,132,20,120,240,Afternoon
2/8/2023,1004,Frankie,12,13.2,1.2,24,20,264,50,360,600,Evening
2/7/2023,1006,Sandwich,4,4.4,0.4,10,25,110,60,140,240,Afternoon
2/7/2023,1003,Sugarcane juice,10,12,2,24,12,144,25,130,250,Evening
2/7/2023,1004,Frankie,10,11,1,20,20,220,50,300,500,Midnight
2/7/2023,1001,Aalopuri,14,15.1,1.12,13.4,12,181.4,20,112,280,Midnight
2/7/2023,1003,Sugarcane juice,14,16.8,2.8,33.6,12,201.6,25,182,350,Midnight
2/6/2023,1001,Aalopuri,3,3.2,0.24,2.9,12,38.9,20,24,60,Midnight
2/6/2023,1005,Panipuri,7,8.8,1.75,17.5,10,87.5,20,70,140,Afternoon
2/6/2023,1002,Vadapav,15,16.5,1.5,15,10,165,20,150,300,Night
2/5/2023,1003,Sugarcane juice,1,1.2,0.2,2.4,12,14.4,25,13,25,Night
2/5/2023,1004,Frankie,2,2.2,0.2,4,20,44,50,60,100,Night
2/5/2023,1006,Sandwich,5,5.5,0.5,12.5,25,137.5,60,175,300,Night
2/5/2023,1004,Frankie,8,8.8,0.8,16,20,176,50,240,400,Night
2/5/2023,1007,Cold coffee,12,12.7,0.72,7.2,10,127.2,40,360,480,Midnight
2/5/2023,1001,Aalopuri,13,14,1.04,12.5,12,168.5,20,104,260,Night
2/5/2023,1007,Cold coffee,15,15.9,0.9,9,10,159,40,450,600,Midnight
2/4/2023,1003,Sugarcane juice,12,14.4,2.4,28.8,12,172.8,25,156,300,Evening
2/4/2023,1004,Frankie,12,13.2,1.2,24,20,264,50,360,600,Midnight
2/4/2023,1002,Vadapav,15,16.5,1.5,15,10,165,20,150,300,Night
2/3/2023,1001,Aalopuri,3,3.2,0.24,2.9,12,38.9,20,24,60,Evening
2/3/2023,1005,Panipuri,5,6.3,1.25,12.5,10,62.5,20,50,100,Evening
2/3/2023,1002,Vadapav,6,6.6,0.6,6,10,66,20,60,120,Night
2/3/2023,1003,Sugarcane juice,6,7.2,1.2,14.4,12,86.4,25,78,150,Morning
2/3/2023,1002,Vadapav,9,9.9,0.9,9,10,99,20,90,180,Night
2/3/2023,1004,Frankie,10,11,1,20,20,220,50,300,500,Evening
2/3/2023,1004,Frankie,13,14.3,1.3,26,20,286,50,390,650,Evening
2/2/2023,1007,Cold coffee,6,6.4,0.36,3.6,10,63.6,40,180,240,Afternoon
2/2/2023,1001,Aalopuri,10,10.8,0.8,9.6,12,129.6,20,80,200,Morning
2/1/2023,1004,Frankie,1,1.1,0.1,2,20,22,50,30,50,Evening
2/1/2023,1004,Frankie,6,6.6,0.6,12,20,132,50,180,300,Morning
2/1/2023,1007,Cold coffee,15,15.9,0.9,9,10,159,40,450,600,Night
1/31/2023,1001,Aalopuri,1,1.1,0.08,1,12,13,20,8,20,Afternoon
1/31/2023,1001,Aalopuri,3,3.2,0.24,2.9,12,38.9,20,24,60,Evening
1/31/2023,1006,Sandwich,3,3.3,0.3,7.5,25,82.5,60,105,180,Midnight
1/31/2023,1007,Cold coffee,12,12.7,0.72,7.2,10,127.2,40,360,480,Morning
1/30/2023,1004,Frankie,13,14.3,1.3,26,20,286,50,390,650,Evening
1/30/2023,1007,Cold coffee,14,14.8,0.84,8.4,10,148.4,40,420,560,Afternoon
1/29/2023,1004,Frankie,7,7.7,0.7,14,20,154,50,210,350,Afternoon
1/28/2023,1004,Frankie,2,2.2,0.2,4,20,44,50,60,100,Night
1/28/2023,1005,Panipuri,7,8.8,1.75,17.5,10,87.5,20,70,140,Night
1/28/2023,1002,Vadapav,13,14.3,1.3,13,10,143,20,130,260,Afternoon
1/28/2023,1001,Aalopuri,15,16.2,1.2,14.4,12,194.4,20,120,300,Night
1/27/2023,1003,Sugarcane juice,7,8.4,1.4,16.8,12,100.8,25,91,175,Afternoon
1/27/2023,1004,Frankie,8,8.8,0.8,16,20,176,50,240,400,Night
1/27/2023,1005,Panipuri,14,17.5,3.5,35,10,175,20,140,280,Morning
1/26/2023,1006,Sandwich,13,14.3,1.3,32.5,25,357.5,60,455,780,Evening
1/26/2023,1002,Vadapav,14,15.4,1.4,14,10,154,20,140,280,Morning
1/26/2023,1004,Frankie,15,16.5,1.5,30,20,330,50,450,750,Midnight
1/25/2023,1005,Panipuri,3,3.8,0.75,7.5,10,37.5,20,30,60,Evening
1/25/2023,1006,Sandwich,7,7.7,0.7,17.5,25,192.5,60,245,420,Midnight
1/25/2023,1005,Panipuri,8,10,2,20,10,100,20,80,160,Evening
1/25/2023,1005,Panipuri,9,11.3,2.25,22.5,10,112.5,20,90,180,Evening
1/24/2023,1001,Aalopuri,7,7.6,0.56,6.7,12,90.7,20,56,140,Midnight
1/24/2023,1003,Sugarcane juice,8,9.6,1.6,19.2,12,115.2,25,104,200,Night
1/23/2023,1003,Sugarcane juice,6,7.2,1.2,14.4,12,86.4,25,78,150,Night
1/23/2023,1006,Sandwich,7,7.7,0.7,17.5,25,192.5,60,245,420,Afternoon
1/22/2023,1005,Panipuri,15,18.8,3.75,37.5,10,187.5,20,150,300,Midnight
1/21/2023,1005,Panipuri,2,2.5,0.5,5,10,25,20,20,40,Afternoon
1/21/2023,1007,Cold coffee,13,13.8,0.78,7.8,10,137.8,40,390,520,Night
1/21/2023,1003,Sugarcane juice,15,18,3,36,12,216,25,195,375,Afternoon
1/20/2023,1007,Cold coffee,2,2.1,0.12,1.2,10,21.2,40,60,80,Night
1/20/2023,1004,Frankie,6,6.6,0.6,12,20,132,50,180,300,Morning
1/20/2023,1003,Sugarcane juice,9,10.8,1.8,21.6,12,129.6,25,117,225,Evening
1/20/2023,1004,Frankie,14,15.4,1.4,28,20,308,50,420,700,Midnight
1/19/2023,1006,Sandwich,8,8.8,0.8,20,25,220,60,280,480,Night
1/19/2023,1003,Sugarcane juice,12,14.4,2.4,28.8,12,172.8,25,156,300,Evening
1/18/2023,1002,Vadapav,2,2.2,0.2,2,10,22,20,20,40,Evening
1/18/2023,1003,Sugarcane juice,5,6,1,12,12,72,25,65,125,Afternoon
1/18/2023,1006,Sandwich,7,7.7,0.7,17.5,25,192.5,60,245,420,Night
1/17/2023,1004,Frankie,6,6.6,0.6,12,20,132,50,180,300,Afternoon
1/16/2023,1004,Frankie,2,2.2,0.2,4,20,44,50,60,100,Midnight
1/16/2023,1005,Panipuri,3,3.8,0.75,7.5,10,37.5,20,30,60,Evening
1/16/2023,1006,Sandwich,10,11,1,25,25,275,60,350,600,Evening
1/16/2023,1006,Sandwich,13,14.3,1.3,32.5,25,357.5,60,455,780,Night
1/16/2023,1005,Panipuri,14,17.5,3.5,35,10,175,20,140,280,Midnight
1/15/2023,1001,Aalopuri,1,1.1,0.08,1,12,13,20,8,20,Midnight
1/15/2023,1003,Sugarcane juice,12,14.4,2.4,28.8,12,172.8,25,156,300,Evening
1/14/2023,1007,Cold coffee,3,3.2,0.18,1.8,10,31.8,40,90,120,Midnight
1/14/2023,1001,Aalopuri,8,8.6,0.64,7.7,12,103.7,20,64,160,Midnight
1/14/2023,1007,Cold coffee,10,10.6,0.6,6,10,106,40,300,400,Night
1/13/2023,1005,Panipuri,6,7.5,1.5,15,10,75,20,60,120,Evening
1/13/2023,1004,Frankie,14,15.4,1.4,28,20,308,50,420,700,Afternoon
1/13/2023,1003,Sugarcane juice,15,18,3,36,12,216,25,195,375,Night
1/12/2023,1001,Aalopuri,13,14,1.04,12.5,12,168.5,20,104,260,Evening
1/12/2023,1006,Sandwich,14,15.4,1.4,35,25,385,60,490,840,Afternoon
1/11/2023,1005,Panipuri,1,1.3,0.25,2.5,10,12.5,20,10,20,Night
1/11/2023,1005,Panipuri,3,3.8,0.75,7.5,10,37.5,20,30,60,Afternoon
1/11/2023,1005,Panipuri,6,7.5,1.5,15,10,75,20,60,120,Evening
1/11/2023,1004,Frankie,9,9.9,0.9,18,20,198,50,270,450,Midnight
1/11/2023,1005,Panipuri,10,12.5,2.5,25,10,125,20,100,200,Midnight
1/11/2023,1003,Sugarcane juice,11,13.2,2.2,26.4,12,158.4,25,143,275,Morning
1/10/2023,1002,Vadapav,7,7.7,0.7,7,10,77,20,70,140,Midnight
1/10/2023,1005,Panipuri,7,8.8,1.75,17.5,10,87.5,20,70,140,Afternoon
1/10/2023,1007,Cold coffee,7,7.4,0.42,4.2,10,74.2,40,210,280,Midnight
1/10/2023,1002,Vadapav,9,9.9,0.9,9,10,99,20,90,180,Evening
1/7/2023,1005,Panipuri,1,1.3,0.25,2.5,10,12.5,20,10,20,Evening
1/7/2023,1004,Frankie,3,3.3,0.3,6,20,66,50,90,150,Afternoon
1/6/2023,1003,Sugarcane juice,6,7.2,1.2,14.4,12,86.4,25,78,150,Midnight
1/6/2023,1004,Frankie,6,6.6,0.6,12,20,132,50,180,300,Afternoon
1/6/2023,1007,Cold coffee,10,10.6,0.6,6,10,106,40,300,400,Afternoon
1/6/2023,1006,Sandwich,12,13.2,1.2,30,25,330,60,420,720,Midnight
1/5/2023,1001,Aalopuri,1,1.1,0.08,1,12,13,20,8,20,Evening
1/5/2023,1004,Frankie,10,11,1,20,20,220,50,300,500,Night
1/5/2023,1004,Frankie,10,11,1,20,20,220,50,300,500,Midnight
1/5/2023,1006,Sandwich,11,12.1,1.1,27.5,25,302.5,60,385,660,Midnight
1/5/2023,1004,Frankie,15,16.5,1.5,30,20,330,50,450,750,Morning
1/4/2023,1002,Vadapav,3,3.3,0.3,3,10,33,20,30,60,Evening
1/4/2023,1003,Sugarcane juice,10,12,2,24,12,144,25,130,250,Night
1/4/2023,1005,Panipuri,13,16.3,3.25,32.5,10,162.5,20,130,260,Night
1/4/2023,1006,Sandwich,15,16.5,1.5,37.5,25,412.5,60,525,900,Night
1/3/2023,1002,Vadapav,8,8.8,0.8,8,10,88,20,80,160,Night
1/3/2023,1007,Cold coffee,8,8.5,0.48,4.8,10,84.8,40,240,320,Evening
1/3/2023,1006,Sandwich,10,11,1,25,25,275,60,350,600,Midnight
1/3/2023,1003,Sugarcane juice,11,13.2,2.2,26.4,12,158.4,25,143,275,Afternoon
1/3/2023,1004,Frankie,13,14.3,1.3,26,20,286,50,390,650,Night
1/2/2023,1003,Sugarcane juice,2,2.4,0.4,4.8,12,28.8,25,26,50,Evening
1/2/2023,1001,Aalopuri,12,13,0.96,11.5,12,155.5,20,96,240,Night
1/2/2023,1003,Sugarcane juice,15,18,3,36,12,216,25,195,375,Night
1/2/2023,1007,Cold coffee,15,15.9,0.9,9,10,159,40,450,600,Midnight
1/1/2023,1006,Sandwich,13,14.3,1.3,32.5,25,357.5,60,455,780,Midnight
1/1/2023,1001,Aalopuri,15,16.2,1.2,14.4,12,194.4,20,120,300,Night
12/31/2022,1007,Cold coffee,13,13.8,0.78,7.8,10,137.8,40,390,520,Night
12/30/2022,1003,Sugarcane juice,2,2.4,0.4,4.8,12,28.8,25,26,50,Morning
12/30/2022,1003,Sugarcane juice,12,14.4,2.4,28.8,12,172.8,25,156,300,Morning
12/29/2022,1001,Aalopuri,4,4.3,0.32,3.8,12,51.8,20,32,80,Morning
12/29/2022,1005,Panipuri,12,15,3,30,10,150,20,120,240,Afternoon
12/29/2022,1005,Panipuri,13,16.3,3.25,32.5,10,162.5,20,130,260,Midnight
12/29/2022,1003,Sugarcane juice,14,16.8,2.8,33.6,12,201.6,25,182,350,Evening
12/28/2022,1007,Cold coffee,1,1.1,0.06,0.6,10,10.6,40,30,40,Night
12/28/2022,1001,Aalopuri,2,2.2,0.16,1.9,12,25.9,20,16,40,Afternoon
12/28/2022,1003,Sugarcane juice,7,8.4,1.4,16.8,12,100.8,25,91,175,Night
12/28/2022,1005,Panipuri,14,17.5,3.5,35,10,175,20,140,280,Morning
12/28/2022,1005,Panipuri,14,17.5,3.5,35,10,175,20,140,280,Night
12/27/2022,1002,Vadapav,3,3.3,0.3,3,10,33,20,30,60,Morning
12/27/2022,1003,Sugarcane juice,9,10.8,1.8,21.6,12,129.6,25,117,225,Afternoon
12/27/2022,1007,Cold coffee,11,11.7,0.66,6.6,10,116.6,40,330,440,Midnight
12/26/2022,1007,Cold coffee,8,8.5,0.48,4.8,10,84.8,40,240,320,Morning
12/26/2022,1007,Cold coffee,12,12.7,0.72,7.2,10,127.2,40,360,480,Midnight
12/25/2022,1004,Frankie,5,5.5,0.5,10,20,110,50,150,250,Afternoon
12/25/2022,1007,Cold coffee,10,10.6,0.6,6,10,106,40,300,400,Morning
12/25/2022,1003,Sugarcane juice,11,13.2,2.2,26.4,12,158.4,25,143,275,Morning
12/25/2022,1003,Sugarcane juice,13,15.6,2.6,31.2,12,187.2,25,169,325,Midnight
12/25/2022,1002,Vadapav,14,15.4,1.4,14,10,154,20,140,280,Afternoon
12/24/2022,1002,Vadapav,1,1.1,0.1,1,10,11,20,10,20,Morning
12/24/2022,1002,Vadapav,1,1.1,0.1,1,10,11,20,10,20,Midnight
12/24/2022,1005,Panipuri,6,7.5,1.5,15,10,75,20,60,120,Morning
12/24/2022,1002,Vadapav,7,7.7,0.7,7,10,77,20,70,140,Morning
12/24/2022,1003,Sugarcane juice,8,9.6,1.6,19.2,12,115.2,25,104,200,Afternoon
12/23/2022,1007,Cold coffee,4,4.2,0.24,2.4,10,42.4,40,120,160,Midnight
12/23/2022,1007,Cold coffee,13,13.8,0.78,7.8,10,137.8,40,390,520,Midnight
12/23/2022,1001,Aalopuri,14,15.1,1.12,13.4,12,181.4,20,112,280,Evening
12/22/2022,1005,Panipuri,2,2.5,0.5,5,10,25,20,20,40,Midnight
12/22/2022,1005,Panipuri,9,11.3,2.25,22.5,10,112.5,20,90,180,Afternoon
12/22/2022,1006,Sandwich,12,13.2,1.2,30,25,330,60,420,720,Evening
12/22/2022,1005,Panipuri,14,17.5,3.5,35,10,175,20,140,280,Night
12/21/2022,1001,Aalopuri,10,10.8,0.8,9.6,12,129.6,20,80,200,Midnight
12/21/2022,1007,Cold coffee,13,13.8,0.78,7.8,10,137.8,40,390,520,Afternoon
12/21/2022,1007,Cold coffee,15,15.9,0.9,9,10,159,40,450,600,Evening
12/20/2022,1001,Aalopuri,5,5.4,0.4,4.8,12,64.8,20,40,100,Midnight
12/19/2022,1002,Vadapav,2,2.2,0.2,2,10,22,20,20,40,Morning
12/18/2022,1002,Vadapav,10,11,1,10,10,110,20,100,200,Midnight
12/17/2022,1007,Cold coffee,2,2.1,0.12,1.2,10,21.2,40,60,80,Night
12/17/2022,1002,Vadapav,3,3.3,0.3,3,10,33,20,30,60,Midnight
12/17/2022,1006,Sandwich,13,14.3,1.3,32.5,25,357.5,60,455,780,Evening
12/17/2022,1005,Panipuri,14,17.5,3.5,35,10,175,20,140,280,Afternoon
12/16/2022,1005,Panipuri,2,2.5,0.5,5,10,25,20,20,40,Night
12/16/2022,1001,Aalopuri,5,5.4,0.4,4.8,12,64.8,20,40,100,Night
12/15/2022,1002,Vadapav,4,4.4,0.4,4,10,44,20,40,80,Morning
12/15/2022,1005,Panipuri,7,8.8,1.75,17.5,10,87.5,20,70,140,Evening
12/15/2022,1002,Vadapav,9,9.9,0.9,9,10,99,20,90,180,Afternoon
12/14/2022,1002,Vadapav,6,6.6,0.6,6,10,66,20,60,120,Night
12/14/2022,1005,Panipuri,13,16.3,3.25,32.5,10,162.5,20,130,260,Afternoon
12/14/2022,1001,Aalopuri,14,15.1,1.12,13.4,12,181.4,20,112,280,Morning
12/14/2022,1003,Sugarcane juice,14,16.8,2.8,33.6,12,201.6,25,182,350,Afternoon
12/14/2022,1006,Sandwich,15,16.5,1.5,37.5,25,412.5,60,525,900,Morning
12/13/2022,1002,Vadapav,3,3.3,0.3,3,10,33,20,30,60,Night
